구분(지역),통신사,다운로드(Mbps),업로드(Mbps)
서울특별시,SKT,948.91,105.89
서울특별시,KT,819.26,89.49
서울특별시,LGU+,816.78,89.21
부산광역시,SKT,"1,025.31",102.05
부산광역시,KT,777.77,91
부산광역시,LGU+,695.65,57.86
대구광역시,SKT,995.35,100.64
대구광역시,KT,892.81,89.13
대구광역시,LGU+,715.08,60.6
인천광역시,SKT,958.39,104.71
인천광역시,KT,786.95,84.39
인천광역시,LGU+,858.78,88.82
광주광역시,SKT,875.56,79.36
광주광역시,KT,822.08,68.32
광주광역시,LGU+,730.71,92.87
대전광역시,SKT,957.35,104.01
대전광역시,KT,741.78,51.83
대전광역시,LGU+,677.45,84.76
울산광역시,SKT,902.42,95.25
울산광역시,KT,739.52,80.92
울산광역시,LGU+,637.08,58.13
세종자치시,SKT,907.31,87.87
세종자치시,KT,692.76,49.41
세종자치시,LGU+,632.32,79.89
경기도,SKT,903.5,97.32
경기도,KT,732.48,80.14
경기도,LGU+,717.41,82.11
강원도,SKT,"1,147.91",112.44
강원도,KT,698.65,87.38
강원도,LGU+,859.36,86.76
충청북도,SKT,923.77,91.25
충청북도,KT,767.44,73.22
충청북도,LGU+,663.69,82.64
충청남도,SKT,893.46,93.67
충청남도,KT,696.18,54.53
충청남도,LGU+,607.17,75.89
전라북도,SKT,890.19,84.86
전라북도,KT,777.85,57.8
전라북도,LGU+,689.31,89.71
전라남도,SKT,790.29,82.1
전라남도,KT,747.44,54.83
전라남도,LGU+,628.4,80.32
경상북도,SKT,920.05,87.37
경상북도,KT,779.69,75.04
경상북도,LGU+,638.89,58.07
경상남도,SKT,913.22,92.45
경상남도,KT,743.38,80.03
경상남도,LGU+,646.92,56.25
제주자치도,SKT,"1,045.73",93.57
제주자치도,KT,816.52,55.04
제주자치도,LGU+,636.43,82.69
